State	C2010	C2011	C2012	C2013	C2014	Energy
WI	1361165	1359984	1283286	1418732	1437711	FossFuel
WY	805265	797726	821266	839683	803967	FossFuel
DC	58155	55887	49025	53357	55217	FossFuel
AL	138	135	141	141	141	GeoThermal
AK	153	214	186	186	186	GeoThermal
AZ	339	345	345	345	345	GeoThermal
AR	773	750	808	808	808	GeoThermal
CA	124981	124092	121269	119556	117226	GeoThermal
CO	721	741	759	759	759	GeoThermal
CT	20	19	21	21	21	GeoThermal
DE	414	401	430	430	430	GeoThermal
FL	9516	9799	10056	10056	10056	GeoThermal
GA	300	291	315	315	315	GeoThermal
HI	1964	2183	2491	2630	2422	GeoThermal
ID	2120	2164	2213	1881	2252	GeoThermal
IL	1965	1905	2042	2042	2042	GeoThermal
IN	4408	4499	4647	4647	4647	GeoThermal
IA	1170	1359	1281	1281	1281	GeoThermal
KS	906	1005	974	974	974	GeoThermal
KY	2544	2700	2712	2712	2712	GeoThermal
LA	1708	1891	1842	1842	1842	GeoThermal
ME	70	68	72	72	72	GeoThermal
MD	548	532	570	570	570	GeoThermal
MA	764	962	859	859	859	GeoThermal
MI	4898	5088	5193	5193	5193	GeoThermal
MN	1035	1003	1075	1075	1075	GeoThermal
MS	855	1074	958	958	958	GeoThermal
MO	339	329	352	352	352	GeoThermal
MT	279	403	337	337	337	GeoThermal
NE	1151	1195	1212	1212	1212	GeoThermal
NV	21631	22419	23886	27022	27499	GeoThermal
NH	28	27	29	29	29	GeoThermal
NJ	448	435	466	466	466	GeoThermal
NM	324	442	368	368	451	GeoThermal
NY	1070	1283	1185	1185	1185	GeoThermal
NC	931	903	967	967	967	GeoThermal
ND	906	1001	978	978	978	GeoThermal
OH	3241	3372	3435	3435	3435	GeoThermal
OK	23	23	24	24	24	GeoThermal
OR	1114	1286	1476	2803	2977	GeoThermal
PA	2018	2180	2162	2162	2162	GeoThermal
RI	20	127	57	57	57	GeoThermal
SC	624	605	648	648	648	GeoThermal
SD	1716	1962	1868	1868	1868	GeoThermal
TN	205	199	213	213	213	GeoThermal
TX	2316	2488	2478	2478	2478	GeoThermal
UT	3449	4027	3993	3851	5769	GeoThermal
VT	28	27	29	29	29	GeoThermal
VA	1569	1764	1701	1701	1701	GeoThermal
WA	1013	1262	1136	1136	1136	GeoThermal
WV	31	30	32	32	32	GeoThermal
WI	592	574	615	615	615	GeoThermal
WY	598	670	663	663	663	GeoThermal
DC	6	59	22	22	22	GeoThermal
AL	84919	86313	70754	123071	90030	Hydro
AK	13982	13066	14988	13696	14633	Hydro
AZ	64606	89135	63918	56432	58185	Hydro
AR	35697	28738	20921	25329	25104	Hydro
CA	326152	413488	255384	226643	157213	Hydro
CO	15398	20235	14247	11572	16831	Hydro
CT	3811	5513	2970	3835	4127	Hydro
DE	0	0	0	0	0	Hydro
FL	1731	1769	1432	2425	2010	Hydro
GA	32407	26282	21281	35431	29142	Hydro
HI	687	905	1090	747	895	Hydro
ID	89309	130241	104109	80845	85611	Hydro
IL	1157	1365	1058	1148	1258	Hydro
IN	4426	3972	4125	3692	3530	Hydro
IA	9250	8991	7291	7147	8356	Hydro
KS	129	143	99	139	154	Hydro
KY	25173	28850	22475	31249	29895	Hydro
LA	10817	10144	6470	9966	10366	Hydro
ME	37174	38660	35519	33970	34457	Hydro
MD	16267	24748	15764	16477	15364	Hydro
MA	9720	11161	8683	9460	8579	Hydro
MI	12200	13188	11561	13539	15216	Hydro
MN	8199	7250	5339	4877	5216	Hydro
MS	0	0	0	0	0	Hydro
MO	15018	11515	6797	10843	6632	Hydro
MT	91849	122382	107373	91959	109201	Hydro
NE	12818	15713	11962	10723	11010	Hydro
NV	21047	21284	23223	25588	22719	Hydro
NH	14415	15592	12270	13617	13137	Hydro
NJ	177	237	102	174	164	Hydro
NM	2117	1892	2120	876	936	Hydro
NY	248502	272019	234593	238270	248086	Hydro
NC	46405	37828	35475	65838	45230	Hydro
ND	19923	25068	23573	17674	24073	Hydro
OH	4186	3728	3941	5240	4546	Hydro
OK	27403	14641	10901	20781	13585	Hydro
OR	297970	411131	375027	315785	335341	Hydro
PA	22753	31258	21334	24088	25117	Hydro
RI	36	72	41	42	38	Hydro
SC	23185	15100	13515	30152	24432	Hydro
SD	51110	64205	56915	38761	52288	Hydro
TN	79392	93037	78942	118721	84645	Hydro
TX	12310	5471	5562	4580	3670	Hydro
UT	6785	11952	7116	4818	6018	Hydro
VT	13140	13843	10555	12269	11177	Hydro
VA	14636	11760	9933	11961	9084	Hydro
WA	666221	892101	851343	745678	755695	Hydro
WV	13340	14118	13622	16590	11811	Hydro
WI	20603	20859	14486	18880	23507	Hydro
WY	9989	11890	8502	6782	8261	Hydro
DC	0	0	0	0	0	Hydro
AL	544405	609288	677380	625869	651532	NatGas
AK	334978	339819	347228	332963	329585	NatGas
AZ	336208	293134	339043	340375	315448	NatGas
AR	274774	288906	300572	286352	274767	NatGas
CA	2325411	2196252	2456371	2483208	2417476	NatGas
CO	510877	481614	461056	487445	499668	NatGas
CT	203814	236016	236260	241509	240614	NatGas
DE	56087	81710	104421	100106	106854	NatGas
FL	1180462	1235953	1348390	1245287	1246670	NatGas
GA	541691	532310	625008	635287	666771	NatGas
HI	2732	2744	2813	2805	2805	NatGas
